#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-30T17:30:31 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-30T17:30:31	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2fMNRAS%2f479%2f5491%2ftable1&-out=Name%2cSp%2cMass%2cRad%2cTeff&-out.max=2000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74795491
#Name: J/MNRAS/479/5491
#Title: Absolute parameters of 509 main-sequence stars (Eker+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/479/5491	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/479/5491	    IVOID of underlying data collection
#INFO	creator=Eker Z.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.479.5491E	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/479/5491	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74795491	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_479_5491_table1:
#Name: J/MNRAS/479/5491/table1
#Title: The basic stellar parameters and relative errors of the stars selected for the calibration sample
#Column	Name	(a24)	Star name	[ucd=meta.id]
#Column	Sp	(a12)	Spectral type	[ucd=src.spType]
#Column	Mass	(F7.4)	Stellar Mass	[ucd=phys.mass]
#Column	Rad	(F7.4)	Stellar radius R/R_{sun}_	[ucd=phys.size.radius]
#Column	Teff	(I5)	Published effective temperature	[ucd=meta.ref;phys.temperature.effective]
Name	Sp	Mass	Rad	Teff
 KIC 7177553            	G2V         	 1.0430	 0.9400	 5800
 KIC 7177553            	G2V         	 0.9860	 0.9410	 5740
 BD+03 3821             	B8V         	 4.2610	 3.8300	13140
 BD+03 3821             	B8V         	 2.8190	 2.0730	12044
 DI Her                 	B4V         	 5.1730	 2.6790	16980
 DI Her                 	B5V         	 4.5240	 2.4790	15135
 HP Dra                 	F9V         	 1.0560	 1.3400	 6000
 HP Dra                 	F9V         	 1.0240	 1.0280	 5895
 V1182 Aql              	O5.5V       	31.0000	 9.0000	43000
 V1182 Aql              	O9.5V       	16.6000	 4.8600	30500
 V1665 Aql              	B9V         	 3.9650	 4.1310	12300
 V1665 Aql              	B9V         	 3.6560	 2.6010	11650
 KIC 5738698            	F           	 1.3900	 1.8500	 6792
 KIC 5738698            	F           	 1.3400	 1.7100	 6739
 TY Cra                 	B9e         	 3.1100	 1.4600	12000
 TY Cra                 	            	 1.6100	 2.3000	 4894
 KIC 4544587            	            	 1.9800	 1.8200	 8600
 KIC 4544587            	            	 1.6100	 1.5800	 7750
 V805 Aql               	A2V         	 2.1140	 2.1220	 8185
 V805 Aql               	A7V         	 1.6280	 1.7600	 7178
 2MASS J19071662+4639532	K5V         	 0.6790	 0.6340	 4150
 2MASS J19071662+4639532	M0V         	 0.5230	 0.5250	 3700
 V526 Sgr               	B9.5V       	 2.2820	 1.8790	10140
 V526 Sgr               	A2V         	 1.6870	 1.5580	 8567
 FL Lyr                 	F8V         	 1.2180	 1.2820	 6150
 FL Lyr                 	G8V         	 0.9580	 0.9620	 5300
 TYC 3121-1659-1        	F3          	 1.3700	 1.6000	 6700
 TYC 3121-1659-1        	M3          	 0.3200	 0.8600	 3170
 KIC 3230227            	AV          	 1.8400	 2.0100	 8000
 KIC 3230227            	AV          	 1.7300	 1.6800	 8177
 V565 Lyr               	            	 0.9950	 1.1010	 5600
 V565 Lyr               	            	 0.9290	 0.9710	 5430
 V568 Lyr               	G5V         	 1.0886	 1.4203	 5645
 V568 Lyr               	K3V         	 0.8292	 0.7997	 4734
 V1430 Aql              	G2V         	 0.9570	 1.1010	 5262
 V1430 Aql              	K4V         	 0.8590	 0.8510	 4930
 UZ Dra                 	F7V         	 1.3450	 1.3110	 6210
 UZ Dra                 	G0V         	 1.2360	 1.1500	 5985
 V2080 Cyg              	F4V         	 1.1900	 1.5960	 6000
 V2080 Cyg              	F4V         	 1.1560	 1.5990	 5987
 V415 Aql               	F6          	 1.7980	 2.9720	 6590
 V415 Aql               	F6          	 1.6760	 2.3410	 6050
 V2083 Cyg              	A5          	 2.1590	 2.2930	 7630
 V2083 Cyg              	A5          	 2.1050	 2.6500	 7623
 WTS 19e-3-08413        	M           	 0.4630	 0.4800	 3506
 WTS 19e-3-08413        	M           	 0.3510	 0.3750	 3338
 V885 Cyg               	A3Vm        	 2.0000	 2.4870	 8375
 V885 Cyg               	A4mV        	 2.2280	 3.5910	 8150
 V4089 Sgr              	A2-3IV      	 2.5840	 3.9590	 8433
 V4089 Sgr              	A7V         	 1.6070	 1.6050	 7361
 WTS 19b-2-01387        	M           	 0.4980	 0.4960	 3498
 WTS 19b-2-01387        	M           	 0.4810	 0.4790	 3436
 WTS 19c-3-01405        	M           	 0.4100	 0.3980	 3309
 WTS 19c-3-01405        	M           	 0.3760	 0.3930	 3305
 KIC 6131659            	            	 0.9220	 0.8800	 5660
 KIC 6131659            	            	 0.6850	 0.6400	 4780
 KIC 9777062            	            	 1.6030	 1.7440	 7700
 KIC 9777062            	            	 1.4190	 1.5440	 7106
 V1143 Cyg              	F5V         	 1.3880	 1.3470	 6460
 V1143 Cyg              	F5V         	 1.3440	 1.3240	 6400
 WOCS 24009             	            	 1.0890	 1.0990	 5925
 WOCS 24009             	            	 1.0760	 1.0690	 5855
 WOCS 40007             	            	 1.2360	 1.3990	 6350
 WOCS 40007             	            	 1.0860	 1.0980	 5930
 V541 Cyg               	B9.5V       	 2.3350	 1.8590	10650
 V541 Cyg               	B9.5V       	 2.2600	 1.8080	10350
 V380 Cyg               	B1.5 II-III 	11.4300	15.7100	21700
 V380 Cyg               	B2V         	 7.0000	 3.8190	22700
 KIC 10935310           	G6          	 0.6800	 0.7990	 5560
 KIC 10935310           	M3V         	 0.3760	 0.3475	 3460
 HD 187669              	K0-0.5III   	 1.5040	11.3300	 4650
 HD 187669              	K2.5III     	 1.5050	22.6200	 4330
 Kepler 1647B           	            	 1.2210	 1.7900	 6210
 Kepler 1647B           	            	 0.9680	 0.9660	 5770
 V2094 Cyg              	A5          	 1.7900	 2.4700	 7250
 V2094 Cyg              	G5          	 0.8300	 0.6700	 5050
 KIC 9851944            	            	 1.7600	 2.2700	 7026
 KIC 9851944            	            	 1.7900	 3.1900	 6902
 BS Dra                 	F5V         	 1.3600	 1.4420	 6618
 BS Dra                 	F5V         	 1.3580	 1.4230	 6626
 V477 Cyg               	A3V         	 1.7720	 1.5800	 8700
 V477 Cyg               	F2V         	 1.3290	 1.2780	 6700
 V453 Cyg               	B0.4IV      	14.3770	 8.5640	26600
 V453 Cyg               	B0.7IV      	11.1190	 5.4970	25500
 V2107 Cyg              	B1III       	 8.9000	 7.4000	22500
 V2107 Cyg              	            	 4.5000	 2.4000	15200
 MG1-1819499            	M1.1        	 0.5570	 0.5190	 3690
 MG1-1819499            	M1.1        	 0.5350	 0.4560	 3610
 TYC 4589-2999-1        	G1.5V       	 1.8150	 2.0110	 5830
 TYC 4589-2999-1        	K4V         	 0.8380	 0.8460	 4616
 TYC 3576-2035-1        	F8IV-V      	 1.0590	 1.9890	 6250
 TYC 3576-2035-1        	M4V         	 0.3420	 0.4570	 2940
 V478 Cyg               	O9.5V       	16.6280	 7.4780	30550
 V478 Cyg               	O9.5V       	16.2770	 7.4780	30550
 MY Cyg                 	A7 m        	 1.8050	 2.2150	 7050
 MY Cyg                 	A5 m        	 1.7940	 2.2750	 7000
 V399 Vul               	B3IV-V      	 7.5500	 6.4980	19000
 V399 Vul               	B4V         	 5.4400	 3.5060	18250
 BP Vul                 	A7mV        	 1.7370	 1.8530	 7709
 BP Vul                 	F2mV        	 1.4080	 1.4890	 6823
 V443 Cyg               	F2/3V       	 1.2000	 1.3000	 6700
 V443 Cyg               	F8V         	 1.1000	 1.1000	 6200
 V442 Cyg               	F1V         	 1.5600	 2.0720	 6900
 V442 Cyg               	F2V         	 1.4070	 1.6620	 6808
 MP Del                 	A7V         	 1.5590	 2.4290	 7400
 MP Del                 	F3V         	 1.2480	 1.5760	 6927
 V456 Cyg               	A7V         	 1.8600	 1.6800	 7750
 V456 Cyg               	F3V         	 1.5800	 1.4700	 6755
 MR Del                 	K2V         	 0.6860	 0.6490	 4900
 MR Del                 	K6V         	 0.6280	 0.8290	 4400
 MT91 372               	B1V         	13.0000	 4.9400	24000
 MT91 372               	B5V         	 5.7000	 3.3400	16600
 MT91 696               	O9.5        	15.0000	 6.3600	32000
 MT91 696               	B0.5V       	12.1000	 5.7200	30940
 IO Aqr                 	F5V-IV      	 1.5690	 2.1910	 6475
 IO Aqr                 	F6V-IV      	 1.6550	 2.4930	 6336
 V379 Cep               	            	10.8730	 7.9860	22025
 V379 Cep               	            	 6.2330	 3.0700	20206
 Y Cyg                  	O9.5        	17.7200	 5.7850	33200
 Y Cyg                  	O9.5V       	17.7300	 5.8160	33521
 CG Cyg                 	G9V         	 0.9480	 0.8960	 5260
 CG Cyg                 	K3V         	 0.8210	 0.8460	 4720
 ER Vul                 	F9V         	 1.0930	 1.1610	 6000
 ER Vul                 	G9V         	 1.0550	 1.1810	 5883
 V1061 Cyg              	F9V         	 1.2810	 1.6160	 6180
 V1061 Cyg              	G8V         	 0.9310	 0.9740	 5300
 EI Cep                 	F3IV        	 1.7720	 2.8980	 6750
 EI Cep                 	F1V         	 1.6800	 2.3300	 6950
 ASAS-21                	K           	 0.8390	 0.8470	 4750
 ASAS-21                	K           	 0.7140	 0.7200	 4220
 EE Peg                 	A3mV        	 2.1510	 2.1030	 8700
 EE Peg                 	F5V         	 1.3320	 1.3210	 6450
 EK Cep                 	A2V         	 2.0240	 1.5790	 9000
 EK Cep                 	G5Vp        	 1.1220	 1.3150	 5700
 OO Peg                 	A7V         	 1.8200	 2.2100	 7850
 OO Peg                 	A8V         	 1.7700	 1.9600	 7600
 NGC 7142 V2            	            	 1.3770	 1.6160	 6238
 NGC 7142 V2            	            	 1.3770	 1.6130	 6276
 V375 Cep               	            	 1.2880	 1.6230	 6230
 V375 Cep               	            	 0.8710	 0.8970	 5151
 VZ Cep                 	F3V         	 1.3760	 1.6220	 6700
 VZ Cep                 	G4V         	 1.0730	 0.9340	 5630
 V497 Cep               	B3V         	 6.4730	 3.7130	19500
 V497 Cep               	B5V         	 5.0000	 2.9380	17756
 BG Ind                 	F3V         	 1.5020	 2.3260	 6353
 BG Ind                 	F5V         	 1.3430	 1.7060	 6653
 CM Lac                 	A2V         	 1.9710	 1.5090	 8700
 CM Lac                 	A8V         	 1.5030	 1.5490	 7034
 V398 Lac               	B9V         	 3.8340	 4.8930	11000
 V398 Lac               	B9V         	 3.2910	 2.4520	10900
 BW Aqr                 	F7?         	 1.4790	 2.0570	 6350
 BW Aqr                 	F8IV?       	 1.3770	 1.7880	 6450
 WX Cep                 	A5V         	 2.3240	 3.9970	 8150
 WX Cep                 	A2V         	 2.5330	 2.7080	 8872
 LL Aqr                 	F9V         	 1.1950	 1.3210	 6080
 LL Aqr                 	G3V         	 1.0340	 1.0020	 5703
 RW Lac                 	G5V         	 0.9280	 1.1930	 5760
 RW Lac                 	F7V         	 0.8700	 0.9700	 5560
 AH Cep                 	B0.5V       	15.5650	 6.3850	29900
 AH Cep                 	B0.5V       	13.7140	 5.8640	28600
 V364 Lac               	A8Vm        	 2.3340	 3.3080	 8250
 V364 Lac               	A1Vm        	 2.2960	 2.9860	 8500
 V453 Cep               	B9V         	 2.5750	 2.1120	10300
 V453 Cep               	B9V         	 2.4780	 2.0110	10400
 NY Cep                 	B0.5V       	13.1520	 6.8430	28500
 NY Cep                 	B2V         	 9.3230	 5.4340	23100
 EF Aqr                 	G0V         	 1.2440	 1.3380	 6150
 EF Aqr                 	GV          	 0.9460	 0.9560	 5185
 CW Cep                 	B0.5V       	11.7970	 5.5240	28300
 CW Cep                 	B0.5V       	11.0670	 5.0300	27700
 PV Cas                 	B9.5V       	 2.7570	 2.2570	10188
 PV Cas                 	B9.5V       	 2.8160	 2.2980	10205
 RT And                 	F8V         	 1.2400	 1.2680	 6095
 RT And                 	K3V         	 0.9070	 0.9060	 4732
 V396 Cas               	A1V         	 2.3970	 2.5920	 9225
 V396 Cas               	A3V         	 1.9010	 1.7790	 8550
 MG1-2056316            	M2V         	 0.4690	 0.4410	 3460
 MG1-2056316            	M3V         	 0.3830	 0.3740	 3320
 NSVS 11868841          	G9          	 0.8860	 1.0100	 5250
 NSVS 11868841          	G9          	 0.6160	 0.9600	 5055
 AR Cas                 	B4V         	 5.9020	 5.0640	17200
 AR Cas                 	A6V         	 1.8690	 1.6040	 8150
 BQ Aqr                 	            	 1.4900	 2.0720	 6390
 BQ Aqr                 	K0III       	 1.5880	 6.5300	 4490
 V731 Cep               	B8.5V       	 2.5770	 1.8230	10700
 V731 Cep               	A1.5V       	 2.0170	 1.7170	 9265
 IT Cas                 	F6V         	 1.3300	 1.6030	 6470
 IT Cas                 	F6V         	 1.3280	 1.5690	 6470
 BK Peg                 	F8          	 1.4140	 1.9850	 6265
 BK Peg                 	F8          	 1.2570	 1.4720	 6320
 AP And                 	F6          	 1.2770	 1.2335	 6565
 AP And                 	F8          	 1.2510	 1.1954	 6495
 AL Scl                 	B6V         	 3.6170	 3.2410	13550
 AL Scl                 	B9V         	 1.7030	 1.4010	10300
 V821 Cas               	A1.5V       	 2.0250	 2.3080	 9400
 V821 Cas               	A4Vm        	 1.6200	 1.3900	 8600

